 ,Label,Area,Mean,IntDen,RawIntDen
1,A:Cntl:c:1/3 - 20241028_1;0mMAPODMO;2;0ugulpCIAPODiresH2BRFP_BF;SOX,7643.337,3451.191,26378619.575,9759969
2,A:Expt:c:1/3 - 20241028_1;0mMAPODMO;2;0ugulpCIAPODiresH2BRFP_BF;SOX,7643.337,3770.433,28818692.880,10662785
