 ,Label,Area,Mean,IntDen,RawIntDen
1,A:Cntl:c:2/3 - 20241028_1;0mMAPODMO;2;0ugulpCIAPODiresH2BRFP_BF;SOX,7643.337,2582.253,19737029.644,7302611
2,A:Expt:c:2/3 - 20241028_1;0mMAPODMO;2;0ugulpCIAPODiresH2BRFP_BF;SOX,7643.337,1729.696,13220649.363,4891580
