 ,Label,Area,Mean,IntDen,RawIntDen
1,A:Cntl:c:2/3 - 20241028_1;0mMAPODMO;2;0ugulpCIAPODiresH2BRFP_BF;SOX,7643.337,3208.427,24523091.310,9073432
2,A:Expt:c:2/3 - 20241028_1;0mMAPODMO;2;0ugulpCIAPODiresH2BRFP_BF;SOX,7643.337,2552.216,19507451.140,7217668
