 ,Label,Area,Mean,IntDen,RawIntDen
1,A:Cntl:c:2/3 - 20241028_1;0mMAPODMO;2;0ugulpCIAPODiresH2BRFP_BF;SOX,7643.337,3001.543,22941806.964,8488364
2,A:Expt:c:2/3 - 20241028_1;0mMAPODMO;2;0ugulpCIAPODiresH2BRFP_BF;SOX,7643.337,1968.752,15047836.738,5567631
