 ,Label,Area,Mean,IntDen,RawIntDen
1,A:Cntl:c:2/3 - 20241028_1;0mMAPODMO;2;0ugulpCIAPODiresH2BRFP_BF;SOX,7643.337,2333.179,17833273.757,6598230.000
2,A:Expt:c:2/3 - 20241028_1;0mMAPODMO;2;0ugulpCIAPODiresH2BRFP_BF;SOX,7643.337,2136.320,16328617.382,6041514.000
