 ,Label,Area,Mean,IntDen,RawIntDen
1,A:Cntl:c:2/3 - 20241028_1;0mMAPODMO;2;0ugulpCIAPODiresH2BRFP_BF;SOX,7643.337,3384.034,25865315.954,9570049
2,A:Expt:c:2/3 - 20241028_1;0mMAPODMO;2;0ugulpCIAPODiresH2BRFP_BF;SOX,7643.337,2078.624,15887625.463,5878349
