 ,Label,Area,Mean,IntDen,RawIntDen
1,A:Cntl:c:2/4 - 20241118_ApoD;MO;1;0mM_BF;SOX10;2;0pCIG;PAX7_Emb4_9s,7643.337,331.773,2535855.566,938255
2,A:Expt:c:2/4 - 20241118_ApoD;MO;1;0mM_BF;SOX10;2;0pCIG;PAX7_Emb4_9s,7643.337,307.396,2349534.351,869317
