 ,Label,Area,Mean,IntDen,RawIntDen
1,A:Cntl:c:2/5 - 20240110_ApoDMO1;0mM_BF;SOX10;ApoDMO;Pax7;DAPI_Emb2_,7643.337,909.603,6952399.166,2572356
2,A:Expt:c:2/5 - 20240110_ApoDMO1;0mM_BF;SOX10;ApoDMO;Pax7;DAPI_Emb2_,7643.337,586.522,4482982.257,1658683
