 ,Label,Area,Mean,IntDen,RawIntDen
1,A:Cntl:c:4/5 - 20240212_ApoDMO;1;0mM_BF;Pax7;H2BRFP;Sox10;DAPI;Emb4,7643.337,1743.773,13328245.283,4931390
2,A:Expt:c:4/5 - 20240212_ApoDMO;1;0mM_BF;Pax7;H2BRFP;Sox10;DAPI;Emb4,7643.337,812.153,6207562.963,2296770
