 ,Label,Area,Mean,IntDen,RawIntDen
1,A:Cntl:c:2/5 - 20240110_ApoDMO1;0mM_BF;SOX10;ApoDMO;Pax7;DAPI_Emb9_,7643.337,834.896,6381389.429,2361085.000
2,A:Expt:c:2/5 - 20240110_ApoDMO1;0mM_BF;SOX10;ApoDMO;Pax7;DAPI_Emb9_,7643.337,362.614,2771577.389,1025471.000
