 ,Label,Area,Mean,IntDen,RawIntDen
1,A:Cntl:c:2/5 - 20240110_ApoDMO1;0mM_BF;SOX10;ApoDMO;Pax7;DAPI_Emb6_,7643.337,530.072,4051522.887,1499045
2,A:Expt:c:2/5 - 20240110_ApoDMO1;0mM_BF;SOX10;ApoDMO;Pax7;DAPI_Emb6_,7643.337,383.312,2929782.040,1084006
