 ,Label,Area,Mean,IntDen,RawIntDen
1,A:Cntl:c:2/5 - 20240110_ApoDMO1;0mM_BF;SOX10;ApoDMO;Pax7;DAPI_Emb10,7643.337,709.225,5420845.162,2005688
2,A:Expt:c:2/5 - 20240110_ApoDMO1;0mM_BF;SOX10;ApoDMO;Pax7;DAPI_Emb10,7643.337,551.240,4213314.070,1558907
