 ,Label,Area,Mean,IntDen,RawIntDen
1,A:Cntl:c:2/4 - 20241118_ApoD;MO;1;0mM_BF;SOX10;2;0pCIG;PAX7_Emb1_9s,7643.337,2816.150,21524784.101,7964072
2,A:Expt:c:2/4 - 20241118_ApoD;MO;1;0mM_BF;SOX10;2;0pCIG;PAX7_Emb1_9s,7643.337,1760.469,13455854.963,4978605
