 ,Label,Area,Mean,IntDen,RawIntDen
1,A:Cntl:c:4/5 - 20240212_ApoDMO;1;0mM_BF;Pax7;H2BRFP;Sox10;DAPI;Emb3,7643.337,3406.199,26034726.149,9632730
2,A:Expt:c:4/5 - 20240212_ApoDMO;1;0mM_BF;Pax7;H2BRFP;Sox10;DAPI;Emb3,7643.337,2020.278,15441663.212,5713345
