 ,Label,Area,Mean,IntDen,RawIntDen
1,A:Cntl:c:4/5 - 20240212_ApoDMO;1;0mM_BF;Pax7;H2BRFP;Sox10;DAPI;Emb5,7643.337,1148.306,8776889.211,3247409
2,A:Expt:c:4/5 - 20240212_ApoDMO;1;0mM_BF;Pax7;H2BRFP;Sox10;DAPI;Emb5,7643.337,673.614,5148658.025,1904980
