 ,Label,Area,Mean,IntDen,RawIntDen
1,A:Cntl:c:2/6 - 20240110_ApoDMO1;0mM_BF;SOX10;ApoDMO;Pax7;DAPI_Emb7_,7643.337,704.784,5386901.501,1993129
2,A:Expt:c:2/6 - 20240110_ApoDMO1;0mM_BF;SOX10;ApoDMO;Pax7;DAPI_Emb7_,7643.337,498.686,3811622.634,1410283
