 ,Label,Area,Mean,IntDen,RawIntDen
1,A:Cntl:c:2/5 - 20240110_ApoDMO1;0mM_BF;SOX10;ApoDMO;Pax7;DAPI_Emb4_,7643.337,691.609,5286200.260,1955870.000
2,A:Expt:c:2/5 - 20240110_ApoDMO1;0mM_BF;SOX10;ApoDMO;Pax7;DAPI_Emb4_,7643.337,382.694,2925060.361,1082259.000
