 ,Label,Area,Mean,IntDen,RawIntDen
1,A:Cntl:c:4/5 - 20240212_ApoDMO;1;0mM_BF;Pax7;H2BRFP;Sox10;DAPI;Emb2,7643.337,1977.319,15113313.221,5591857
2,A:Expt:c:4/5 - 20240212_ApoDMO;1;0mM_BF;Pax7;H2BRFP;Sox10;DAPI;Emb2,7643.337,928.580,7097446.899,2626023
