 ,Label,Area,Mean,IntDen,RawIntDen
1,A:Cntl:c:4/5 - 20240212_ApoDMO;1;0mM_BF;Pax7;H2BRFP;Sox10;DAPI;Emb6,7643.337,731.303,5589595.890,2068125.000
2,A:Expt:c:4/5 - 20240212_ApoDMO;1;0mM_BF;Pax7;H2BRFP;Sox10;DAPI;Emb6,7643.337,577.347,4412857.068,1632737.000
