 ,Label,Area,Mean,IntDen,RawIntDen
1,A:Cntl:c:2/6 - 20240110_ApoDMO1;0mM_BF;SOX10;ApoDMO;Pax7;DAPI_Emb1_,7643.337,1062.506,8121094.645,3004768
2,A:Expt:c:2/6 - 20240110_ApoDMO1;0mM_BF;SOX10;ApoDMO;Pax7;DAPI_Emb1_,7643.337,838.878,6411824.939,2372346
